nohup: ignoring input
Timesteps: 24600, Mean reward: 573.26
Timesteps: 24700, Mean reward: 541.52
Timesteps: 24800, Mean reward: 512.29
Timesteps: 24900, Mean reward: 574.85
Timesteps: 25000, Mean reward: 413.13
Timesteps: 25100, Mean reward: 426.82
Timesteps: 25200, Mean reward: 432.90
Timesteps: 25300, Mean reward: 485.44
Timesteps: 25400, Mean reward: 559.91
Timesteps: 25500, Mean reward: 553.48
Timesteps: 25600, Mean reward: 575.36
Timesteps: 25700, Mean reward: 396.25
Timesteps: 25800, Mean reward: 381.59
Timesteps: 25900, Mean reward: 583.39
Timesteps: 26000, Mean reward: 440.72
Timesteps: 26100, Mean reward: 376.59
Timesteps: 26200, Mean reward: 376.61
Timesteps: 26300, Mean reward: 461.16
Timesteps: 26400, Mean reward: 321.12
Timesteps: 26500, Mean reward: 463.67
Timesteps: 26600, Mean reward: 581.80
Timesteps: 26700, Mean reward: 576.29
Timesteps: 26800, Mean reward: 395.09
Timesteps: 26900, Mean reward: 412.69
Timesteps: 27000, Mean reward: 506.18
Timesteps: 27100, Mean reward: 411.61
Timesteps: 27200, Mean reward: 560.14
Timesteps: 27300, Mean reward: 482.57
Timesteps: 27400, Mean reward: 485.26
Timesteps: 27500, Mean reward: 498.51
Timesteps: 27600, Mean reward: 578.69
Timesteps: 27700, Mean reward: 472.52
Timesteps: 27800, Mean reward: 547.67
Timesteps: 27900, Mean reward: 506.08
Timesteps: 28000, Mean reward: 561.71
Timesteps: 28100, Mean reward: 435.98
Timesteps: 28200, Mean reward: 507.03
Timesteps: 28300, Mean reward: 528.43
Timesteps: 28400, Mean reward: 266.03
Timesteps: 28500, Mean reward: 384.76
Timesteps: 28600, Mean reward: 540.96
Timesteps: 28700, Mean reward: 538.23
Timesteps: 28800, Mean reward: 462.53
Timesteps: 28900, Mean reward: 540.18
Timesteps: 29000, Mean reward: 489.01
Timesteps: 29100, Mean reward: 328.61
Timesteps: 29200, Mean reward: 503.57
Timesteps: 29300, Mean reward: 521.11
Timesteps: 29400, Mean reward: 493.40
Timesteps: 29500, Mean reward: 546.19
Timesteps: 29600, Mean reward: 521.87
Timesteps: 29700, Mean reward: 397.90
Timesteps: 29800, Mean reward: 508.61
Timesteps: 29900, Mean reward: 507.92
Timesteps: 30000, Mean reward: 516.43
Timesteps: 30100, Mean reward: 531.60
Timesteps: 30200, Mean reward: 463.92
Timesteps: 30300, Mean reward: 536.40
Timesteps: 30400, Mean reward: 419.19
Timesteps: 30500, Mean reward: 446.24
Timesteps: 30600, Mean reward: 514.72
Timesteps: 30700, Mean reward: 508.34
Timesteps: 30800, Mean reward: 523.27
Timesteps: 30900, Mean reward: 538.13
Timesteps: 31000, Mean reward: 512.98
Timesteps: 31100, Mean reward: 561.77
Timesteps: 31200, Mean reward: 514.29
Timesteps: 31300, Mean reward: 501.44
Timesteps: 31400, Mean reward: 528.64
Timesteps: 31500, Mean reward: 557.48
Timesteps: 31600, Mean reward: 554.82
Timesteps: 31700, Mean reward: 545.11
Timesteps: 31800, Mean reward: 556.87
Timesteps: 31900, Mean reward: 536.52
Timesteps: 32000, Mean reward: 463.21
Timesteps: 32100, Mean reward: 16.42
Timesteps: 32200, Mean reward: 335.79
Timesteps: 32300, Mean reward: 528.09
Timesteps: 32400, Mean reward: 550.27
Timesteps: 32500, Mean reward: 556.95
Timesteps: 32600, Mean reward: 486.19
Timesteps: 32700, Mean reward: 591.27
Timesteps: 32800, Mean reward: 565.37
Timesteps: 32900, Mean reward: 525.80
Timesteps: 33000, Mean reward: 408.24
Timesteps: 33100, Mean reward: 381.23
Timesteps: 33200, Mean reward: 373.70
Timesteps: 33300, Mean reward: 346.71
Timesteps: 33400, Mean reward: 494.42
Timesteps: 33500, Mean reward: 546.53
Timesteps: 33600, Mean reward: 552.85
Timesteps: 33700, Mean reward: 565.68
Timesteps: 33800, Mean reward: 350.97
Timesteps: 33900, Mean reward: 377.73
Timesteps: 34000, Mean reward: 354.76
Timesteps: 34100, Mean reward: 481.67
Timesteps: 34200, Mean reward: 440.52
Timesteps: 34300, Mean reward: 482.78
Timesteps: 34400, Mean reward: 423.15
Timesteps: 34500, Mean reward: 426.20
Timesteps: 34600, Mean reward: 449.08
Timesteps: 34700, Mean reward: 453.12
Timesteps: 34800, Mean reward: 422.07
Timesteps: 34900, Mean reward: 386.45
Timesteps: 35000, Mean reward: 398.64
Timesteps: 35100, Mean reward: 443.54
Timesteps: 35200, Mean reward: 374.14
Timesteps: 35300, Mean reward: 395.01
Timesteps: 35400, Mean reward: 346.06
Timesteps: 35500, Mean reward: 347.73
Timesteps: 35600, Mean reward: 367.19
Timesteps: 35700, Mean reward: 381.38
Timesteps: 35800, Mean reward: 428.17
Timesteps: 35900, Mean reward: 454.08
Timesteps: 36000, Mean reward: 394.45
Timesteps: 36100, Mean reward: 380.16
Timesteps: 36200, Mean reward: 409.96
Timesteps: 36300, Mean reward: 378.53
Timesteps: 36400, Mean reward: 376.79
Timesteps: 36500, Mean reward: 591.25
Timesteps: 36600, Mean reward: 359.28
Timesteps: 36700, Mean reward: 440.01
Timesteps: 36800, Mean reward: 290.26
Timesteps: 36900, Mean reward: 339.14
Timesteps: 37000, Mean reward: 462.09
Timesteps: 37100, Mean reward: 478.93
Timesteps: 37200, Mean reward: 564.82
Timesteps: 37300, Mean reward: 622.42
Timesteps: 37400, Mean reward: 533.20
Timesteps: 37500, Mean reward: 518.30
Timesteps: 37600, Mean reward: 577.20
Timesteps: 37700, Mean reward: 597.19
Timesteps: 37800, Mean reward: 557.39
Timesteps: 37900, Mean reward: 481.82
Timesteps: 38000, Mean reward: 388.44
Timesteps: 38100, Mean reward: 539.33
Timesteps: 38200, Mean reward: 530.24
Timesteps: 38300, Mean reward: 430.27
Timesteps: 38400, Mean reward: 573.80
Timesteps: 38500, Mean reward: 628.93
Timesteps: 38600, Mean reward: 373.56
Timesteps: 38700, Mean reward: 397.89
Timesteps: 38800, Mean reward: 147.67
Timesteps: 38900, Mean reward: 484.41
Timesteps: 39000, Mean reward: 240.72
Timesteps: 39100, Mean reward: 539.16
Timesteps: 39200, Mean reward: 560.18
Timesteps: 39300, Mean reward: 540.94
Timesteps: 39400, Mean reward: 476.18
Timesteps: 39500, Mean reward: 594.70
Timesteps: 39600, Mean reward: 554.41
Timesteps: 39700, Mean reward: 551.33
Timesteps: 39800, Mean reward: 554.34
Timesteps: 39900, Mean reward: 467.19
Timesteps: 40000, Mean reward: 490.13
Timesteps: 40100, Mean reward: 528.90
Timesteps: 40200, Mean reward: 517.10
Timesteps: 40300, Mean reward: 438.67
Timesteps: 40400, Mean reward: 348.94
Timesteps: 40500, Mean reward: 357.68
Timesteps: 40600, Mean reward: 352.85
Timesteps: 40700, Mean reward: 366.33
Timesteps: 40800, Mean reward: 348.39
Timesteps: 40900, Mean reward: 349.43
Timesteps: 41000, Mean reward: 341.73
Timesteps: 41100, Mean reward: 369.71
Timesteps: 41200, Mean reward: 327.63
Timesteps: 41300, Mean reward: 373.38
Timesteps: 41400, Mean reward: 334.89
Timesteps: 41500, Mean reward: 493.32
Timesteps: 41600, Mean reward: 439.55
Timesteps: 41700, Mean reward: 545.97
Timesteps: 41800, Mean reward: 469.89
Timesteps: 41900, Mean reward: 437.80
Timesteps: 42000, Mean reward: 350.59
Timesteps: 42100, Mean reward: 450.98
Timesteps: 42200, Mean reward: 392.29
Timesteps: 42300, Mean reward: 495.76
Timesteps: 42400, Mean reward: 353.68
Timesteps: 42500, Mean reward: 552.95
Timesteps: 42600, Mean reward: 515.89
Timesteps: 42700, Mean reward: 465.57
Timesteps: 42800, Mean reward: 461.46
Timesteps: 42900, Mean reward: 468.93
Timesteps: 43000, Mean reward: 553.98
Timesteps: 43100, Mean reward: 454.36
Timesteps: 43200, Mean reward: 517.12
Timesteps: 43300, Mean reward: 544.94
Timesteps: 43400, Mean reward: 551.52
Timesteps: 43500, Mean reward: 405.66
Timesteps: 43600, Mean reward: 361.06
Timesteps: 43700, Mean reward: 454.38
Timesteps: 43800, Mean reward: 159.99
Timesteps: 43900, Mean reward: 375.83
Timesteps: 44000, Mean reward: 496.06
Timesteps: 44100, Mean reward: 530.48
Timesteps: 44200, Mean reward: 385.97
Timesteps: 44300, Mean reward: 172.84
Timesteps: 44400, Mean reward: 615.46
Timesteps: 44500, Mean reward: 166.49
Timesteps: 44600, Mean reward: 500.98
Timesteps: 44700, Mean reward: 507.78
Timesteps: 44800, Mean reward: 364.84
Timesteps: 44900, Mean reward: 219.95
Timesteps: 45000, Mean reward: 588.41
Timesteps: 45100, Mean reward: 414.93
Timesteps: 45200, Mean reward: 68.76
Timesteps: 45300, Mean reward: 420.71
Timesteps: 45400, Mean reward: 111.22
Timesteps: 45500, Mean reward: 377.09
Timesteps: 45600, Mean reward: 107.78
Timesteps: 45700, Mean reward: 85.41
Timesteps: 45800, Mean reward: 368.11
Timesteps: 45900, Mean reward: 385.16
Timesteps: 46000, Mean reward: 390.78
Timesteps: 46100, Mean reward: 364.89
Timesteps: 46200, Mean reward: 344.16
Timesteps: 46300, Mean reward: 138.68
Timesteps: 46400, Mean reward: 50.15
Timesteps: 46500, Mean reward: 302.18
Timesteps: 46600, Mean reward: 366.18
Timesteps: 46700, Mean reward: 354.23
Timesteps: 46800, Mean reward: 365.11
Timesteps: 46900, Mean reward: 359.37
Timesteps: 47000, Mean reward: 380.05
Timesteps: 47100, Mean reward: 383.56
Timesteps: 47200, Mean reward: 337.37
Timesteps: 47300, Mean reward: 391.34
Timesteps: 47400, Mean reward: 339.97
Timesteps: 47500, Mean reward: 376.47
Timesteps: 47600, Mean reward: 356.32
Timesteps: 47700, Mean reward: 339.93
Timesteps: 47800, Mean reward: 361.36
Timesteps: 47900, Mean reward: 384.49
Timesteps: 48000, Mean reward: 550.50
Timesteps: 48100, Mean reward: 529.23
Timesteps: 48200, Mean reward: 531.33
Timesteps: 48300, Mean reward: 533.62
Timesteps: 48400, Mean reward: 531.02
Timesteps: 48500, Mean reward: 492.22
Timesteps: 48600, Mean reward: 374.99
Timesteps: 48700, Mean reward: 408.69
Timesteps: 48800, Mean reward: 414.40
Timesteps: 48900, Mean reward: 332.91
Timesteps: 49000, Mean reward: 408.03
Timesteps: 49100, Mean reward: 347.26
Timesteps: 49200, Mean reward: 384.71
Timesteps: 49300, Mean reward: 388.34
Timesteps: 49400, Mean reward: 363.55
Timesteps: 49500, Mean reward: 373.20
Timesteps: 49600, Mean reward: 271.96
Timesteps: 49700, Mean reward: 432.11
Timesteps: 49800, Mean reward: 474.49
Timesteps: 49900, Mean reward: 366.43
Timesteps: 50000, Mean reward: 515.20
Timesteps: 50100, Mean reward: 371.49
Timesteps: 50200, Mean reward: 390.98
Timesteps: 50300, Mean reward: 393.85
Timesteps: 50400, Mean reward: 545.02
Timesteps: 50500, Mean reward: 575.11
Timesteps: 50600, Mean reward: 414.96
Timesteps: 50700, Mean reward: 389.16
Timesteps: 50800, Mean reward: 388.92
Timesteps: 50900, Mean reward: 361.53
Timesteps: 51000, Mean reward: 354.87
Timesteps: 51100, Mean reward: 367.35
Timesteps: 51200, Mean reward: 352.17
Timesteps: 51300, Mean reward: 403.67
Timesteps: 51400, Mean reward: 359.19
Timesteps: 51500, Mean reward: 354.13
Timesteps: 51600, Mean reward: 347.18
Timesteps: 51700, Mean reward: 355.26
Timesteps: 51800, Mean reward: 339.72
Timesteps: 51900, Mean reward: 334.38
Timesteps: 52000, Mean reward: 230.76
Timesteps: 52100, Mean reward: 577.43
Timesteps: 52200, Mean reward: 270.41
Timesteps: 52300, Mean reward: 241.62
Timesteps: 52400, Mean reward: 320.10
Timesteps: 52500, Mean reward: 292.17
Timesteps: 52600, Mean reward: 308.19
Timesteps: 52700, Mean reward: 236.90
Timesteps: 52800, Mean reward: 313.76
Timesteps: 52900, Mean reward: 153.47
Timesteps: 53000, Mean reward: 562.68
Timesteps: 53100, Mean reward: 313.83
Timesteps: 53200, Mean reward: 302.33
Timesteps: 53300, Mean reward: 502.32
Timesteps: 53400, Mean reward: 460.72
Timesteps: 53500, Mean reward: 666.56
Timesteps: 53600, Mean reward: 413.05
Timesteps: 53700, Mean reward: 447.30
Timesteps: 53800, Mean reward: 472.32
Timesteps: 53900, Mean reward: 622.09
Timesteps: 54000, Mean reward: 236.47
Timesteps: 54100, Mean reward: 261.66
Timesteps: 54200, Mean reward: 59.52
Timesteps: 54300, Mean reward: 197.19
Timesteps: 54400, Mean reward: 50.28
Timesteps: 54500, Mean reward: 54.04
Timesteps: 54600, Mean reward: 439.23
Timesteps: 54700, Mean reward: 545.10
Timesteps: 54800, Mean reward: 559.13
Timesteps: 54900, Mean reward: 571.78
Timesteps: 55000, Mean reward: 588.26
Timesteps: 55100, Mean reward: 396.22
Timesteps: 55200, Mean reward: 584.31
Timesteps: 55300, Mean reward: 431.45
Timesteps: 55400, Mean reward: 570.26
Timesteps: 55500, Mean reward: 555.45
Timesteps: 55600, Mean reward: 560.61
Timesteps: 55700, Mean reward: 560.89
Timesteps: 55800, Mean reward: 535.42
Timesteps: 55900, Mean reward: 530.94
Timesteps: 56000, Mean reward: 550.61
Timesteps: 56100, Mean reward: 557.85
Timesteps: 56200, Mean reward: 544.66
Timesteps: 56300, Mean reward: 549.83
Timesteps: 56400, Mean reward: 547.64
Timesteps: 56500, Mean reward: 546.70
